id|year|code|url|title|type|type_id|location|location_id
105|2018|18ccz|/explorations/18ccz/welcome.html|DeepCCZ|Federal Funding Opportunity|2|Pacific|3
104|2018|18whitesharkcafe|/explorations/18whitesharkcafe/welcome.html|Voyage to the White Shark Cafe|Federal Funding Opportunity|2|Pacific|3
103|2018|ex1803|/okeanos/explorations/ex1803/welcome.html|Gulf of Mexico 2018|Okeanos|1|Pacific|3
102|2018|18peleliu|/explorations/18peleliu/welcome.html|Peleliu’s Forgotten World War II Battlefield|Federal Funding Opportunity|2|Pacific|3
101|2018|ex1802|/okeanos/explorations/ex1802/welcome.html|Gulf of Mexico Technology Demonstration|Okeanos|1|Gulf of Mexico|6
100|2018|2018-overview|/okeanos/explorations/2018-overview/welcome.html|NOAA Ship Okeanos Explorer: 2018 Overview|Okeanos|1|Atlantic|4
99|2017|ex1711|/okeanos/explorations/ex1711/welcome.html|Gulf of Mexico 2017|Okeanos|1|Gulf of Mexico|6
98|2017|ex1710|/okeanos/explorations/ex1710/welcome.html|Canal Transit and Gulf of Mexico Mapping|Okeanos|1|Atlantic|4
97|2017|17pipa|/explorations/17pipa/welcome.html|Discovering Deep-Sea Corals of the Phoenix Islands|Federal Funding Opportunity|2|Pacific|3
96|2017|ex1708|/okeanos/explorations/ex1708/welcome.html|Deep-Sea Symphony: Exploring the Musicians Seamounts|Okeanos|1|Pacific|3
95|2017|17deepsearch|/explorations/17deepsearch/welcome.html|DEEP SEARCH: DEEP Sea Exploration to Advance Research on Coral/Canyon/Cold seep Habitats|Federal Funding Opportunity|2|Atlantic|4
94|2017|ex1707|/okeanos/explorations/ex1707/welcome.html|Musicians Seamounts Telepresence Mapping|Okeanos|1|Pacific|3
93|2017|17sedci|/explorations/17sedci/welcome.html|Southeast Deep Coral Initiative: Exploring Deep-Sea Coral Ecosystems off the Southeast U.S.|Federal Funding Opportunity|2|Atlantic|4
92|2017|ex1706|/okeanos/explorations/ex1706/welcome.html|2017 Laulima O Ka Moana: Exploring Deep Monument Waters Around Johnston Atoll|Okeanos|1|Pacific|3
91|2017|17gulfofmaine|/explorations/17gulfofmaine/welcome.html|Northern Neighbors: Transboundary Exploration of Deepwater Communities|Federal Funding Opportunity|2|Atlantic|4
90|2017|17cuba-reefs|/explorations/17cuba-reefs/welcome.html|Cuba's Twilight Zone Reefs and Their Regional Connectivity|Federal Funding Opportunity|2|Atlantic|4
89|2017|17atlantic-margin|/explorations/17atlantic-margin/welcome.html|Exploring Methane Seeps on the U.S. Mid-Atlantic Margin: IMMeRSS|Federal Funding Opportunity|2|Atlantic|4
88|2017|17midway|/explorations/17midway/welcome.html|Exploring the Sunken Heritage of Midway Atoll|Federal Funding Opportunity|2|Pacific|3
87|2017|17nautilus|/explorations/17nautilus/welcome.html|E/V <em>Nautilus</em>: 2017 Field Season|Ocean Exploration Trust|4|Pacific|3
86|2017|ex1705|/okeanos/explorations/ex1705/welcome.html|Mountains in the Deep: Exploring the Central Pacific Basin|Okeanos|1|Pacific|3
85|2017|17thunderbay|/explorations/17thunderbay/welcome.html|Pushing the Boundaries: Technology-driven Exploration of Thunder Bay National Marine Sanctuary|Federal Funding Opportunity|2|North American Lakes|5
84|2017|ex1704|/okeanos/explorations/ex1704/welcome.html|Telepresence Mapping in American Samoa and the Cook Islands|Okeanos|1|Pacific|3
83|2017|ex1703|/okeanos/explorations/ex1703/welcome.html|Discovering the Deep: Exploring Remote Pacific Marine Protected Areas|Okeanos|1|Pacific|3
82|2017|ex1702|/okeanos/explorations/ex1702/welcome.html|2017 American Samoa Expedition: Suesuega o le Moana o Amerika Samoa|Okeanos|1|Pacific|3
81|2017|ex1701|/okeanos/explorations/ex1701/welcome.html|CAPSTONE Telepresence Mapping in Pacific Marine Protected Areas|Okeanos|1|Pacific|3
80|2017|2017-overview|/okeanos/explorations/2017-overview/welcome.html|NOAA Ship Okeanos Explorer: 2017 Overview|Okeanos|1|Pacific|3
79|2016|ex1608_1609|/okeanos/explorations/ex1608_1609/welcome.html|Shakedown, Calibration, and Testing in the Main Hawaiian Islands|Okeanos|1|Pacific|3
78|2016|16marianabackarc|/explorations/16marianabackarc/welcome.html|Searching for Life in the Mariana Back-arc|Federal Funding Opportunity|2|Pacific|3
77|2016|ex1607|/okeanos/explorations/ex1607/welcome.html|Telepresence Seafloor Mapping in the Pacific Remote Islands Marine National Monument - Wake Island Unit|Okeanos|1|Pacific|3
76|2016|16carolina|/explorations/16carolina/welcome.html|Exploring Carolina Canyons|Federal Funding Opportunity|2|Atlantic|4
75|2016|16battlefield|/explorations/16battlefield/welcome.html|Battle of the Atlantic: Archaeology of an Underwater World War II Battlefield|Federal Funding Opportunity|2|Atlantic|4
74|2016|ex1606|/okeanos/explorations/ex1606/welcome.html|Deepwater Wonders of Wake: Exploring the Pacific Remote Islands Marine National Monument|Okeanos|1|Pacific|3
73|2016|16arctic|/explorations/16arctic/welcome.html|Hidden Ocean 2016: Chukchi Borderlands|Federal Funding Opportunity|2|Arctic|1
72|2016|16nautilus|/explorations/16nautilus/welcome.html|E/V <em>Nautilus</em>: 2016 Field Season|Ocean Exploration Trust|4|Pacific|3
71|2016|ex1605|/okeanos/explorations/ex1605/welcome.html|2016 Deepwater Exploration of the Marianas|Okeanos|1|Pacific|3
70|2016|16sstahoe|/explorations/16sstahoe/welcome.html|Citizen Exploration: Return to the SS Tahoe|Federal Funding Opportunity|2|North American Lakes|5
69|2016|ex1604|/okeanos/explorations/ex1604/welcome.html|Mapping in the Pacific Remote Islands Marine National Monument|Okeanos|1|Pacific|3
68|2016|16glacierbay|/explorations/16glacierbay/welcome.html|Deepwater Exploration of Glacier Bay National Park|Federal Funding Opportunity|2|Pacific|3
67|2016|ex1603|/okeanos/explorations/ex1603/welcome.html|2016 Hohonu Moana: Exploring Deep Waters off Hawaii|Okeanos|1|Pacific|3
66|2016|ex1602|/okeanos/explorations/ex1602/welcome.html|NOAA Ship Okeanos Explorer: Mission System Shakedown 2016|Okeanos|1|Pacific|3
65|2016|2016-overview|/okeanos/explorations/2016-overview/welcome.html|NOAA Ship Okeanos Explorer: 2016 Field Season Overview|Okeanos|1|Pacific|3
64|2015|ex1504|/okeanos/explorations/ex1504/welcome.html|Hohonu Moana: Exploring the Deep Waters Off Hawai’i|Okeanos|1|Pacific|3
63|2015|15pulleyridge|/explorations/15pulleyridge/welcome.html|Coral Ecosystem Connectivity 2015: From Pulley Ridge to the Florida Keys|Federal Funding Opportunity|2|Gulf of Mexico|6
62|2015|15lostwhalingfleets|/explorations/15lostwhalingfleets/welcome.html|Search for the Lost Whaling Fleets of the Western Arctic|Federal Funding Opportunity|2|Arctic|1
61|2015|16challenger|/explorations/16challenger/welcome.html|Ambient Sound at Full Ocean Depth: Eavesdropping on the Challenger Deep|Federal Funding Opportunity|2|Pacific|3
60|2015|15biolum|/explorations/15biolum/welcome.html|Bioluminescence and Vision on the Deep Seafloor 2015 |Federal Funding Opportunity|2|Gulf of Mexico|6
59|2015|capstone|/okeanos/explorations/capstone/welcome.html|Campaign to Address Pacific monument Science, Technology, and Ocean NEeds (CAPSTONE)|Federal Funding Opportunity|2|Not Specified|7
58|2015|ex1503|/okeanos/explorations/ex1503/welcome.html|Tropical Exploration 2015|Okeanos|1|Atlantic|4
57|2015|ex1502|/okeanos/explorations/ex1502/welcome.html|Océano Profundo 2015: Exploring Puerto Rico’s Seamounts, Trenches, and Troughs|Okeanos|1|Atlantic|4
56|2015|15arctic-microbes|/explorations/15arctic-microbes/welcome.html|Mapping the Uncharted Diversity of Arctic Marine Microbes|Federal Funding Opportunity|2|Arctic|1
55|2015|15portroyal|/explorations/15portroyal/welcome.html|Uncovering a Pirate City: 3D Mapping for Marine Applications|Federal Funding Opportunity|2|Not Specified|7
54|2015|15nautilus|/explorations/15nautilus/welcome.html|E/V <em>Nautilus</em>: 2015 Field Season|Ocean Exploration Trust|4|Gulf of Mexico|6
53|2015|ex1502/background/leg2|/okeanos/explorations/ex1502/background/leg2/welcome.html|Océano Profundo 2015: Exploring Puerto Rico’s Seamounts, Trenches, and Troughs: Leg 2|Okeanos|1|Atlantic|4
52|2015|ex1502/background/leg1|/okeanos/explorations/ex1502/background/leg1/welcome.html|Océano Profundo 2015: Exploring Puerto Rico’s Seamounts, Trenches, and Troughs: Leg 1|Okeanos|1|Gulf of Mexico|6
51|2015|15muertos|/explorations/15muertos/welcome.html|Exploration of the Muertos Trough and Puerto Rico Trench via Un-tethered Free Vehicles: 2015|Federal Funding Opportunity|2|Atlantic|4
50|2015|2015-overview|/okeanos/explorations/2015-overview/welcome.html|NOAA Ship Okeanos Explorer: 2015 Field Season Overview|Okeanos|1|Pacific|3
49|2014|14fire|/explorations/14fire/welcome.html|Submarine Ring of Fire 2014 - Ironman|Federal Funding Opportunity|2|Pacific|3
48|2014|14mendocino|/explorations/14mendocino/welcome.html|Return to Mendocino Ridge: U.S Extended Continental Shelf Project, Exploratory Mapping Expedition|Federal Funding Opportunity|2|Pacific|3
47|2014|14anegada|/explorations/14anegada/welcome.html|Seamounts of Anegada Passage 2014|Federal Funding Opportunity|2|Atlantic|4
46|2014|ex1404|/okeanos/explorations/ex1404/welcome.html|Our Deepwater Backyard: Exploring Atlantic Canyons and Seamounts 2014|Okeanos|1|Atlantic|4
45|2014|14lostfleet|/explorations/14lostfleet/welcome.html|Search for the Lost French Fleet of 1565|Federal Funding Opportunity|2|Atlantic|4
44|2014|14pulleyridge|/explorations/14pulleyridge/welcome.html|Coral Ecosystem Connectivity 2014: From Pulley Ridge to the Florida Keys 2014|Federal Funding Opportunity|2|Atlantic|4
43|2014|14nautilus|/explorations/14nautilus/welcome.html|E/V <em>Nautilus</em>: 2014 Field Season|Ocean Exploration Trust|4|Atlantic|4
42|2014|14rockfish|/explorations/14rockfish/welcome.html|NOAA - Boeing Echo Ranger Pilot AUV Mission 2014|Federal Funding Opportunity|2|Pacific|3
41|2014|ex1403|/okeanos/explorations/ex1403/welcome.html|East Coast Mapping|Okeanos|1|Atlantic|4
40|2014|14hades|/explorations/14hades/welcome.html|HADES: Kermadec Trench Expedition 2014|Federal Funding Opportunity|2|Pacific|3
39|2014|ex1402|/okeanos/explorations/ex1402/welcome.html|Exploration of the Gulf of Mexico 2014|Okeanos|1|Gulf of Mexico|6
38|2013|13pulleyridge|/explorations/13pulleyridge/welcome.html|Coral Ecosystem Connectivity 2013: From Pulley Ridge to the Florida Keys|Federal Funding Opportunity|2|Gulf of Mexico|6
37|2013|13landerrecovery|/explorations/13landerrecovery/welcome.html|Deepwater Canyons 2013: Benthic Lander Recovery|Federal Funding Opportunity|2|Atlantic|4
36|2013|ex1304|/okeanos/explorations/ex1304/welcome.html|Northeast U.S. Canyons Expedition 2013|Okeanos|1|Atlantic|4
35|2013|13monterrey|/explorations/13monterrey/welcome.html|New England Seamount Chain Exploration|Federal Funding Opportunity|2|Not Specified|7
34|2013|ex1302|/okeanos/explorations/ex1302/welcome.html|NOAA Ship Okeanos Explorer 2013 ROV Shakedown and Field Trials in the U.S. Atlantic Canyons|Okeanos|1|Atlantic|4
33|2013|13midatlantic|/explorations/13midatlantic/welcome.html|Deepwater Canyons 2013: Pathways to the Abyss|Federal Funding Opportunity|2|Atlantic|4
32|2013|ex1301|/okeanos/explorations/ex1301/welcome.html|NOAA Ship Okeanos Explorer 2013 Shakedown: Kicking the Tires|Okeanos|1|Atlantic|4
31|2012|ex1206|/okeanos/explorations/ex1206/welcome.html|Gulf of Mexico 2012|Okeanos|1|Atlantic|4
30|2012|12fire|/explorations/12fire/welcome.html|Submarine Ring of Fire 2012: Northeast Lau Basin|Federal Funding Opportunity|2|Pacific|3
29|2012|12arctic|/explorations/12arctic/welcome.html|Russian-U.S. Arctic Census 2012|Federal Funding Opportunity|2|Arctic|1
28|2012|12midatlantic|/explorations/12midatlantic/welcome.html|Deepwater Canyons 2012: Pathways to the Abyss|Federal Funding Opportunity|2|Atlantic|4
27|2012|12nautilus|/explorations/12nautilus/welcome.html|Turkey and Cyprus Expedition 2012|Federal Funding Opportunity|2|Mediterranean Sea|2
26|2012|12newworld|/explorations/12newworld/welcome.html|Exploring the Submerged New World 2012|Federal Funding Opportunity|2|Gulf of Mexico|6
25|2012|12lophelia|/explorations/12lophelia/welcome.html|Lophelia II 2012: Deepwater Platform Corals|Federal Funding Opportunity|2|Gulf of Mexico|6
24|2012|12chile|/explorations/12chile/welcome.html|INSPIRE: Chile Margin 2012|Federal Funding Opportunity|2|Pacific|3
23|2012|ex1202|/okeanos/explorations/ex1202/welcome.html|Northeast and Mid-Atlantic Canyons Expedition|Okeanos|1|Atlantic|4
22|2012|acumen12|/okeanos/explorations/acumen12/welcome.html|Atlantic Canyons Undersea Mapping 2012 Expeditions|Federal Funding Opportunity|2|Not Specified|7
21|2011|11maya|/explorations/11maya/welcome.html|Exploring the Hidden World of the Maritime Maya 2011|Federal Funding Opportunity|2|Gulf of Mexico|6
20|2011|ex1105|/okeanos/explorations/ex1105/welcome.html|Gulf of Mexico 2011|Okeanos|1|Gulf of Mexico|6
19|2011|11newworld|/explorations/11newworld/welcome.html|Exploring the Submerged New World 2011|Federal Funding Opportunity|2|Gulf of Mexico|6
18|2011|ex1104|/okeanos/explorations/ex1104/welcome.html|Mid-Cayman Rise Expedition 2011|Okeanos|1|Atlantic|4
17|2011|11nautilus|/explorations/11nautilus/welcome.html|New Frontiers in Ocean Exploration 2011|Federal Funding Opportunity|2|Mediterranean Sea|2
16|2011|ex1103|/okeanos/explorations/ex1103/welcome.html|Galápagos Rift Expedition 2011|Okeanos|1|Pacific|3
15|2011|11bermuda|/explorations/11bermuda/welcome.html|Bermuda Deep Water Caves 2011: Dives of Discovery|Federal Funding Opportunity|2|Atlantic|4
14|2011|11midatlantic|/explorations/11midatlantic/welcome.html|Deepwater Mid-Atlantic Canyons Exploration 2011|Federal Funding Opportunity|2|Atlantic|4
13|2011|ex1101|/okeanos/explorations/ex1101/welcome.html|NOAA Ship Okeanos Explorer California Shakedown Cruise 2011: Exploring California's National Marine Sanctuaries|Okeanos|1|Pacific|3
12|2011|11pacificreefs|/explorations/11pacificreefs/welcome.html|Pacific Deep Reefs 2011|Federal Funding Opportunity|2|Pacific|3
11|2010|10lophelia|/explorations/10lophelia/welcome.html|Lophelia II 2010: Oil Seeps and Deep Reefs|Federal Funding Opportunity|2|Gulf of Mexico|6
10|2010|10aquarius|/explorations/10aquarius/welcome.html|Aquarius 2010: If Reefs Could Talk|Federal Funding Opportunity|2|Gulf of Mexico|6
9|2010|ex1006|/okeanos/explorations/ex1006/welcome.html|NOAA Ship Okeanos Explorer Maximizing Operations|Okeanos|1|Pacific|3
8|2010|10sanandreas|/explorations/10sanandreas/welcome.html|Cradle of the Earthquake: Exploring the Underwater San Andreas Fault 2010|Federal Funding Opportunity|2|Pacific|3
7|2010|10ecs|/explorations/10ecs/welcome.html|Extended Continental Shelf Project 2010|Federal Funding Opportunity|2|Arctic|1
6|2010|10sbnms|/explorations/10sbnms/welcome.html|Stellwagen Bank National Marine Sanctuary 2010|Federal Funding Opportunity|2|Atlantic|4
5|2010|10thunderbay|/explorations/10thunderbay/welcome.html|Thunder Bay 2010: Cutting Edge Technology and the Hunt for Lake Huron's Lost Ships|Federal Funding Opportunity|2|North American Lakes|5
4|2010|10flosee|/explorations/10flosee/welcome.html|Florida Shelf Edge Exploration 2010|Federal Funding Opportunity|2|Gulf of Mexico|6
3|2010|10index|/okeanos/explorations/10index/welcome.html|INDEX 2010: Indonesia-USA Deep-Sea Exploration of the Sangihe Talaud Region|Federal Funding Opportunity|2|Pacific|3
2|2010|10cortez|/explorations/10cortez/welcome.html|Sea of Cortez Expedition 2010|Federal Funding Opportunity|2|Pacific|3
1|2010|10chile|/explorations/10chile/welcome.html|INSPIRE: Chile Margin 2010|Federal Funding Opportunity|2|Pacific|3
